X,Y,INCIDENT I,DESCRIPTIO,START_DT,MODIFIED_D,QUADRANT,Longitude,Latitude,location,COUNT_1
-114.019434255636,51.0488598764172,Southbound Deerfoot Trail approaching Memorial Drive NE,Multi vehicle incident blocking the right lane,02/15/2017 06:15:53 PM,02/15/2017 06:17:53 PM,NE,-114.019434255636,51.0488598764172,"(51.0488598764172, -114.019434255636)",79
-114.170349642145,51.1518054632903,Eastbound Stoney Trail approaching Sarcee Trail NW,Single vehicle incident.,02/15/2017 09:23:39 PM,02/15/2017 09:26:14 PM,NW,-114.170349642145,51.1518054632903,"(51.1518054632903, -114.170349642145)",10
-114.062427515694,51.0961033579573,Eastbound McKnight Boulevard at Centre Street NE,Incident involving a pedestrian.,02/15/2017 10:57:18 PM,02/15/2017 11:02:33 PM,NE,-114.062427515694,51.0961033579573,"(51.0961033579573, -114.062427515694)",5
-114.141015046839,51.0067059452252,Lakeview Drive at 37 Street SW,Incident involving a pedestrian.,02/15/2017 11:27:00 PM,02/15/2017 11:27:41 PM,SW,-114.141015046839,51.0067059452252,"(51.0067059452252, -114.141015046839)",3
-114.070362048307,50.9478733729087,Northbound Macleod Trail at Lake Fraser Drive SE,Multi vehicle incident.,02/16/2017 07:45:21 AM,02/16/2017 07:47:45 AM,SE,-114.070362048307,50.9478733729087,"(50.9478733729087, -114.070362048307)",3
-114.217300388207,51.1045378370755,Westbound Nose Hill Drive at 87 Street NW,Single vehicle incident.,02/16/2017 08:12:22 AM,02/16/2017 08:13:25 AM,NW,-114.217300388207,51.1045378370755,"(51.1045378370755, -114.217300388207)",6
-114.152734549261,51.1001944351718,Northbound Crowchild Trail at Shaganappi Trail NW,Single vehicle incident.,02/16/2017 08:01:44 AM,02/16/2017 08:13:25 AM,NW,-114.152734549261,51.1001944351718,"(51.1001944351718, -114.152734549261)",18
-114.117828974111,51.054383282443,Northbound Crowchild Trail at 2 Avenue NW,Multi vehicle incident in the right lane,02/16/2017 02:22:09 PM,02/16/2017 02:23:06 PM,NW,-114.117828974111,51.054383282443,"(51.054383282443, -114.117828974111)",1
-114.04883864707,50.9297584753216,Westbound Canyon Meadows Drive approaching Acadia Drive SE,Single vehicle incident,02/16/2017 03:49:02 PM,02/16/2017 03:51:30 PM,SE,-114.04883864707,50.9297584753216,"(50.9297584753216, -114.04883864707)",2
-114.071725341954,50.9610741738348,Southbound Macleod Trail at 99 Avenue S,Multi vehicle incident in the right lane,02/16/2017 04:30:33 PM,02/16/2017 04:41:51 PM,SE,-114.071725341954,50.9610741738348,"(50.9610741738348, -114.071725341954)",1
-114.174881045817,51.0307736381669,Sirocco Drive at Signature Way SW,2 vehicle incident,02/16/2017 04:40:45 PM,02/16/2017 04:41:51 PM,SW,-114.174881045817,51.0307736381669,"(51.0307736381669, -114.174881045817)",1
-114.038176693294,51.0873952582888,Northbound Deerfoot Trail approaching McKnight Boulevard NE,2 vehicle incident,02/16/2017 05:44:00 PM,02/16/2017 05:45:22 PM,NE,-114.038176693294,51.0873952582888,"(51.0873952582888, -114.038176693294)",1
-114.083923298796,51.0429578310133,11 Avenue at 9 Street SW,Incident involving a pedestrian,02/16/2017 05:33:10 PM,02/16/2017 05:45:22 PM,SW,-114.083923298796,51.0429578310133,"(51.0429578310133, -114.083923298796)",3
-114.023891174022,50.9527458497239,Bow Bottom Trail at Deerfoot Trail SE,Single vehicle incident,02/16/2017 09:19:42 PM,02/16/2017 09:20:55 PM,SE,-114.023891174022,50.9527458497239,"(50.9527458497239, -114.023891174022)",1
-114.094767691935,51.092158891007,14 Street at N Haven Drive NW,Single vehicle incident.,02/17/2017 12:21:58 AM,02/17/2017 12:23:01 AM,NW,-114.094767691935,51.092158891007,"(51.092158891007, -114.094767691935)",1
-114.14113392099,51.0300518993946,37 Street at 26 Avenue SW,The traffic lights are blank. The crews have been dispatched.,02/17/2017 10:19:11 AM,02/17/2017 10:20:49 AM,SW,-114.14113392099,51.0300518993946,"(51.0300518993946, -114.14113392099)",1
-114.028551292521,51.0673798693422,Westbound 16 Avenue at Deerfoot Trail NE,2 vehicle incident.,02/17/2017 01:51:25 PM,02/17/2017 01:52:59 PM,NE,-114.028551292521,51.0673798693422,"(51.0673798693422, -114.028551292521)",85
-114.00187681285,51.0087321875477,50 Avenue at Barlow Trail SE,"2 vehicle incident, blocking the northbound and southbound traffic.",02/17/2017 02:18:03 PM,02/17/2017 02:19:15 PM,SE,-114.00187681285,51.0087321875477,"(51.0087321875477, -114.00187681285)",9
-113.997565792058,51.0323002091134,Northbound Deerfoot Trail approaching 17 Avenue SE,Single vehicle incident.,02/17/2017 02:36:11 PM,02/17/2017 02:51:03 PM,SE,-113.997565792058,51.0323002091134,"(51.0323002091134, -113.997565792058)",1
-114.182266862298,51.1409706926059,Nose Hill Drive at Country Hills Boulevard NW,2 vehicle incident,02/17/2017 02:50:09 PM,02/17/2017 02:51:03 PM,NW,-114.182266862298,51.1409706926059,"(51.1409706926059, -114.182266862298)",7
-114.1178358573,51.0524306176428,Crowchild Trail at Kensington Road NW,2 vehicle incident blocking the left lane in both directions,02/17/2017 03:16:18 PM,02/17/2017 03:25:31 PM,NW,-114.1178358573,51.0524306176428,"(51.0524306176428, -114.1178358573)",1
-114.002709773666,51.0197591255008,Southbound Deerfoot Trail at Peigan Trail SE,2 vehicle incident in the left lane,02/17/2017 03:24:28 PM,02/17/2017 03:25:31 PM,SE,-114.002709773666,51.0197591255008,"(51.0197591255008, -114.002709773666)",1
-114.04214133969,51.0980446650932,Northbound Deerfoot Trail at McKnight Boulevard NE,Stalled vehicle,02/17/2017 04:47:21 PM,02/17/2017 04:52:02 PM,NE,-114.04214133969,51.0980446650932,"(51.0980446650932, -114.04214133969)",1
-113.953103312786,50.8930636848012,Auburn Shore Way and Auburn Bay Avenue SE,Incident involving a pedestrian,02/17/2017 05:08:04 PM,02/17/2017 05:24:42 PM,SE,-113.953103312786,50.8930636848012,"(50.8930636848012, -113.953103312786)",1
-113.958256949407,51.0998329391857,Falconridge Boulevard at Falconridge Drive NE,2 vehicle incident,02/17/2017 07:28:23 PM,02/17/2017 07:29:36 PM,NE,-113.958256949407,51.0998329391857,"(51.0998329391857, -113.958256949407)",3
-114.073056821065,50.9577659767365,Southport Road at Southport Way SW,2 vehicle incident,02/18/2017 10:21:32 AM,02/18/2017 10:22:58 AM,SW,-114.073056821065,50.9577659767365,"(50.9577659767365, -114.073056821065)",1
-114.001650243312,50.9564757523753,18 Street at 24 Street SE,The traffic light is blank. The crews have been dispatched.,02/18/2017 01:51:16 PM,02/18/2017 01:52:17 PM,SE,-114.001650243312,50.9564757523753,"(50.9564757523753, -114.001650243312)",2
-114.044494997523,51.1011142076719,Northbound Deerfoot Trail past McKnight Boulevard NE,2 vehicle incident.,02/18/2017 02:28:48 PM,02/18/2017 03:22:24 PM,NE,-114.044494997523,51.1011142076719,"(51.1011142076719, -114.044494997523)",1
-114.071508881117,51.0324799074485,23 Avenue at 4 Street SW,The traffic lights are on flash.,02/18/2017 05:27:22 PM,02/18/2017 05:55:20 PM,SW,-114.071508881117,51.0324799074485,"(51.0324799074485, -114.071508881117)",2
-114.071508520442,51.0305779452201,25 Avenue at 4 Street SW,The traffic lights are on flash.,02/18/2017 05:25:26 PM,02/18/2017 05:55:20 PM,SW,-114.071508520442,51.0305779452201,"(51.0305779452201, -114.071508520442)",2
-114.069033666228,51.0305067961009,25 Avenue at 2 Street SW,The traffic lights are on flash.,02/18/2017 05:26:24 PM,02/18/2017 05:55:20 PM,SW,-114.069033666228,51.0305067961009,"(51.0305067961009, -114.069033666228)",4
-114.170507117427,51.1788626258681,Nolan Hill Drive at Nolan Hill Boulevard NW,Multi vehicle incident.,02/18/2017 07:57:58 PM,02/18/2017 07:59:36 PM,NW,-114.170507117427,51.1788626258681,"(51.1788626258681, -114.170507117427)",1
-114.159393412205,51.050941449658,Westbound Bow Trail approaching Sarcee Trail SW,Multi vehicle incident blocking the right lanes,02/18/2017 11:50:18 PM,02/18/2017 11:53:13 PM,SW,-114.159393412205,51.050941449658,"(51.050941449658, -114.159393412205)",1
-114.071677723224,50.9977463493722,Macleod Trail at 61 Avenue SE,2 vehicle incident.,02/21/2017 09:22:28 PM,02/21/2017 09:23:17 PM,SE,-114.071677723224,50.9977463493722,"(50.9977463493722, -114.071677723224)",3
-114.203081358765,51.0179410683491,Eastbound Glenmore Trail at 69 Street SW,Multi-vehicle incident.,02/22/2017 07:39:11 AM,02/22/2017 07:53:04 AM,SW,-114.203081358765,51.0179410683491,"(51.0179410683491, -114.203081358765)",3
-114.142590967376,51.037786804235,17 Avenue at 38 Street SW,2 vehicle incident.,02/22/2017 08:51:29 AM,02/22/2017 08:52:24 AM,SW,-114.142590967376,51.037786804235,"(51.037786804235, -114.142590967376)",1
-114.194895145176,51.1274203463215,Southbound Nose Hill Drive approaching Crowchild Trail NW,2 vehicle incident in the right lane.,02/22/2017 08:41:29 AM,02/22/2017 08:52:24 AM,NW,-114.194895145176,51.1274203463215,"(51.1274203463215, -114.194895145176)",6
-114.005256240554,51.01500137989,Peigan Trail exit to Southbound Deerfoot Trail SE,2 vehicle incident,02/25/2017 10:25:38 AM,02/25/2017 10:27:26 AM,SE,-114.005256240554,51.01500137989,"(51.01500137989, -114.005256240554)",53
-114.141152727762,51.0147457988376,37 Street at 45 Avenue SW,2 vehicle incident,02/25/2017 12:15:59 PM,02/25/2017 12:16:47 PM,SW,-114.141152727762,51.0147457988376,"(51.0147457988376, -114.141152727762)",3
-114.094729155756,51.0723152876661,Southbound 14 Street at 22 Avenue NW,Single vehicle incident.,02/19/2017 05:43:46 AM,02/19/2017 05:50:54 AM,NW,-114.094729155756,51.0723152876661,"(51.0723152876661, -114.094729155756)",2
